अफ्रीका	Afriko
केन्द्र पार्टी	Centerpartiet
बाम पार्टी	Vänsterpartiet
सन्तुलित एकता पार्टी	La Moderuloj
जनता पार्टी - उदारहरू	Popola Partio - La Liberaluloj
राधा	Radhao
शदलचील	Kresta akcipitraglo
कुले ढुकुर	Punktita turto
ठूलो पानीगौंथली	Orienta glareolo
टेम्फे	Tempeo
क्लोनिङ	Klonado
एपेन्डिसाइटिस	Apendicito
एलिसिया किज	Alicia Keys
ग्यासको पिण्ड	Gasgiganto
केल्भिन थमसन	William Thomson
गिद्ध	Vulturo
सुनौलो माछा	Orfiŝo (fiŝo)
अभिजाततन्त्र	Aristokratio
भूपरिवेष्ठित राष्ट्र	Lando sen maraliro
आविष्कार	Invento
युएस ओपन (टेनिस)	US Open (teniso)
गँड्यौला	Tervermo
कालो भालु	Azia nigra urso
पृथ्वी दिवस	Tera Tago
मैन	Vakso
टोनी हेगन	Toni Hagen
सलमा हायेक	Salma Hayek
करौंती	Segilo
स्याल	Ŝakalo
अन्तर्राष्ट्रिय नागरिक उड्डयन संगठन	Internacia Civila Aviada Organizo
जलवायु परिवर्तन	Klimata ŝanĝo
हाडफोर	Ŝafgrifo
थोमस पेन	Thomas Paine
एरोस्मिथ	Aerosmith
मैंगलूर	Mangaloro
बम	Bombo
परागसेचन	Fekundigo
तास (समाचार संस्था)	TASS
हाडनाता करणी	Incesto
मोतिबिन्दु	Katarakto
पञ्चभुज	Kvinlatero
भोट मरुपरेवा	Tibeta stepkoko
चितुवा	Panteroj
इन्द्र	Indro
पावल मार्टिन	Paul Martin
जेन क्रिटेन	Jean Chrétien
किम क्याम्पबेल	Kim Campbell
ब्रायन मुलरोनी	Brian Mulroney
जोन र्टनर	John Turner
जोए क्लार्क	Joe Clark
स्तन क्यान्सर	Mama kancero
जोन डाइफेनबेकर	John Diefenbaker
मूल्य अभिबृद्धि कर	Aldonvalora imposto
रिचार्ड बेडफोर्ड बेनेट	R.B. Bennett
आर्थर मेइघेन	Arthur Meighen
चार्ल्स ट्युप्पर	Charles Tupper
कोशिका भित्ति	Ĉela muro
सर जोन ए. म्याकडोनाल्ड	John A. Macdonald
हेरोल्ड विलसन	Harold Wilson
हेरोल्ड म्याकमिलान	Harold Macmillan
एन्थोनी एडिन	Anthony Eden
क्लिीमेन्ट एट्ली	Clement Attlee
भोपाल ग्यास काण्ड	Bhopala tragedio
भारतको विभाजन	Dispartigo de Hindio
ब्रिटिश राज	Brita Hindio
यती (किम्बदन्ति )	Jetio
मारियो बालोटेली	Mario Balotelli
तिघ्रा	Femuro
हिमाली कोचलगाँडे	Noktuo
म्याकवेथ	Makbeto
मजार शरीफ	Mazar-i Ŝarif
नङ्गा पर्वत	Nanga Parbat
झ्याउँकिरी	Cikadedoj
जेम्स ब्लन्ट	James Blunt
जनसङ्ख्या नियन्त्रण	Loĝantarkontrolo
लाहुरे फूल	Dalio
हाप्सिलो (चरा)	Gufo
सामग्री व्यवस्थापन प्रणाली	Sistemo por administrado de enhavo
मारिया मोन्टेस्सोरी	Maria Montessori
अन्ना कोर्निकोभा	Anna Kurnikova
वायु प्रदुषण	Aera poluado
एनेस्थेसिया	Anestezo
हेनरी डेभिड थोरो	Henry David Thoreau
टि-सर्ट	T-ĉemizo
कोदालो	Rastro
टुकी फूल	Oficina taraksako
मुसुरो	Lento
टोनी क्रूस	Toni Kroos
ली कुआन यु	Lee Kuan Yew
स्पर्श रेखा	Tanĝanto
बकुल्ला सिमी	Fabo
भारतका राज्य तथा केन्द्र शासित प्रदेशहरू	Ŝtatoj de Barato
शरणार्थी	Rifuĝinto
कीटनाशक	Pesticido
लिनक्स बितरण	Distribuaĵo (Linukso)
जलासय	Baraĵlago
विटक्वाइन	Bitmono
सरुवा रोग चिकित्सा	Infekta malsano
अत्तर	Parfumo
किशोरावस्था	Adolesko
सानो बाज	Kolombfalko
राज्यपाल	Guberniestro
कर्म	Karmo
उत्सव	Festivalo
थेरवाद	Teravado
आयुर्वेद	Ajurvedo
अमर्त्य सेन	Amartya Sen
ग्लिसेरोल	Glicerino
वन कुकुर	Montara kuono
नाओमी वाट्स	Naomi Watts
जीरा	Kumino
विद्युत परिपथ	Elektra cirkvito
वस्तु बकुल्ला	Bovardeo
यमुना नदी	Jamuna
वाष्पीकरण	Vaporado
हत्या	Murdo
एडम स्याण्लर	Adam Sandler
एशियन हात्ती	Azia elefanto
पेरिस कम्युन	Pariza Komunumo (1871)
भारतको इतिहास	Historio de Barato
अन्धविश्वास	Superstiĉo
मेथी	Fenugreko
कमलपित्त	Iktero
अनुक्रम	Vico
ढाड	Dorso
रंग अन्धता	Kolorblindeco
विलियम हेनरी ब्रैग	William Henry Bragg
दाँतमा कीरा लाग्ने	Kario
प्लेग	Pesto
महामारी विज्ञान	Epidemiologio
प्राथमिक उपचार	Sukuro
हेमोफिलिया	Hemofilio
नवाज शरिफ	Naŭaz Ŝarif
पोलो	Poloo
वर्गमूल	Kvadrata radiko
क्रोएशिया राष्ट्रिय फुटबल टिम	Kroata nacia teamo de futbalo
द ब्ल्याक आइड पिस	The Black Eyed Peas
ध्वन्यात्मक लिप्यन्तरण	Transliterumo
रेसम किरा	Silkraŭpo
फरेस्ट गम्प	Forrest Gump (filmo)
बुवा दिवस	Tago de patro
उरुग्वे राष्ट्रिय फुटबल टिम	Urugvaja nacia teamo de futbalo
ग्रीस राष्ट्रिय फुटबल टिम	Greka nacia teamo de futbalo
लुकास पोडोलस्की	Lukas Podolski
डेभिड लोयोर्ड जोर्ज	David Lloyd George
भारतका भाषाहरु	Lingvoj de Barato
पार्क गेयुन हेई	Park Geun-hye
डेभिड कपरभिल्ड	David Copperfield
ग्रहण	Eklipso
भिटामिन ई	Vitamino E
अग्नि (क्षेप्यास्त्र)	Agni III
नेयमार	Neymar
बगाले चुइयाँ	Arbopipio
मौरीको मैन	Abelvakso
काठे भालु	Longlipa urso
ग्रेट भिक्टोरिया मरुभूमि	Granda Viktoria-Dezerto
सानोतामे ढुकुर	Ruĝa turto
दक्षिण एशियाली सहयोग सङ्गठन	Sud-Azia Unuiĝo por Regiona Kunlaboro
देवदार	Himalaja cedro
मुन्तला	Bigarado
ग्याँठकोपी	Tigobrasiko
धुपी सल्ला	Sugio
काजोल देवगन	Kajol
आचार्य रजनीश	Oŝo
लज्जावती	Sensitivo
निलो कमल	Nila nimfeo
लहरे पिपल	Populus deltoides
जिल्ला	Distrikto
बिमिरो	Cedrato
सिमसाग	Akvokreso
गोङ ली	Gong Li
अलेक्जेन्डर क्याल्डर	Alexander Calder
सम्पति शुद्धिकरण	Monlavado
युसूफ राजा गिलानी	Jusuf Raza Gillani
ग्ली (टेलि श्रृंखला)	Glee
रुवाई	Ploro
अति उच्च आवृति	Ultramallongondo
औंला (खुट्टा)	Piedfingro
बुन्डेस ट्याग	Federacia Parlamento
विलियम अलेक्जेन्डर	Willem-Alexander de Nederlando
मराकाना स्टेडियम	Stadiono Maracanã
संवैधानिक जनवादी पार्टी	Konstitucia Demokratia Partio
श्वेत करबीर	Oleandro
विष	Akonito
चुत्रो	Berberisacoj
सुगन्धराज	Hidrangeo
रोग हेतु विज्ञान	Etiologio
सर्वपल्ली राधाकृष्णन	Sarvepalli Radhakrishnan
कफीको बोट	Kafarbo
रातो बाँदर	Rezuso
लहरे आँप	Pasifrukto
डोली फूल	Hiperiko
मनमाउथ	Monmouth (Kimrio)
समबाहु त्रिभुज	Egallatera triangulo
कनकचम्पा	Magnolio
जवा कुसुम	Hibisko
सेतो दूबो	Phalaris arundinacea
बोझो	Kalam-akoro
जई घाँस	Avena fatua
जंगली गोलभेडा	Fizalido
अफगानिस्थानको प्रान्त	Provincoj de Afganio
कपुरको रूख	Kamforarbo
प्रियङ्का चोपडा	Prijanka Ĉopra
कन्तरा	Averoo
समाजवादी इन्टरनेसनल	Socialista Internacio
पान (वनस्पति)	Betelo
अन्तःशुल्क कर	Akcizo
अन्नपूर्ण हिमाल	Anapurno
जलबिन्दु	Glaŭkomo
नेपालको झण्डा	Flago de Nepalo
कापुचीनो	Kapuĉino
पिंक(गायिका)	Pink
संयुक्त राष्ट्र संघको सदस्य राष्ट्र	Membroŝtatoj de Unuiĝintaj Nacioj
उत्तर, मध्य अमेरिका र कैरीबियन फुटबल संघ	CONCACAF
मोहम्मद अली जिन्ना	Muhammad Ali Jinnah
अलफ्रेड रसेल वालेस	Alfred Russel Wallace
विलियम इवार्ट ग्याडस्टोन	William Ewart Gladstone
अष्ट्रीया कम्युनिष्ट पार्टी	Kommunistische Partei Österreichs
कुकुरडाइनो	Aspra smilako
सर्वदा फूल	Kanaacoj
क्रेडिट कार्ड	Kreditkarto
ज्याभिअर मासेरानो	Javier Mascherano
बहुराष्ट्रिय कम्पनी	Transnacia firmao
आँप	Mangifero
बकाइनो	Bida melio
वीरेन्द्र वीर विक्रम शाह	Birendra de Nepalo
इलाहाबाद	Allahabad
गिनी गुणांक	Koeficiento de Gini
ओन्कोलोजी	Onkologio
अकादमी	Akademio
सोनिया गान्धी	Sonia Gandhi
बलुचिस्तान, पाकिस्तान	Baluĉistano (Pakistano)
जेसिका बेल	Jessica Biel
गलैँचा	Tapiŝo
स्नातक तह	Bakalaŭro
द डार्क नाईट (चलचित्र)	The Dark Knight
तृतीय (कम्युनिष्ट) इन्टरनेसनल	Tria Internacio
तरकारी	Kareaĵo
२०१२ ग्रीष्मकालीन ओलम्पिक पदक तालिका	Medaltabelo de la Somera Olimpiko 2012
हरित गृह	Forcejo
पाउलोनिया	Paŭlovnio
खुर्सानी	Kapsiketo
ज्यामिर	Limeujo
मलो	Ramnoida hipofeo
धौलागिरी हिमाल	Dhaulagiri
कलम	Plumo (skribilo)
जैविक खेती	Ekologia agrikulturo
बाल्कन युद्ध	Balkanaj militoj
अस्सर(गायक)	Usher Raymond
अष्ठभुज	Oklatero
जलाधार	Akvokolekta areo
बोनर ल	Andrew Bonar Law
संसदीय व्यवस्था	Parlamenta demokratio
बेल्जियम राष्ट्रिय फुटबल टिम	Belga nacia teamo de futbalo
विजयनगर साम्राज्य	Viĝajanagara imperio
तिरुवनन्तपुरम	Thiruvananthapuram
भू-क्षय	Terglito
उत्स्वेदन	Planta transpirado
कुर्कुच्चा	Maleolo
भोकमरी	Malsatego
अफ्रिकी फुटबल संघ	CAF
पुतली (खेलौना)	Pupo (ludilo)
राजगिद्ध	Monaĥvulturo
ल्होत्से हिमाल	Lhotse
कालीकण्ठे सिस्कीन	Verda kardelo
रणमत्त महाचील	Blankŝultra aglo
लोकपाल	Ombudsmano
बी बोइङ	Rompdancado
मकालु हिमाल	Makalu
दार्जीलिङ्ग	Darĝiling
अंकगणितीय अनुक्रम	Aritmetika vico
मनास्लु हिमाल	Manaslu
संयुक्त राष्ट्र आर्थिक एवं सामाजिक परिषद	Ekonomia kaj Socia Konsilio de Unuiĝintaj Nacioj
पागलपन	Psikozo
चोयु हिमाल	Ĉo Oju
श्रीनगर	Srinagaro
रामसार संन्धि	Ramsar-Interkonsento
जलविद्युत	Akvoenergio
श्रेणी	Serio (matematiko)
सर्पहारी चील	Serpentaglo
द्वितीय चीन-जापान युद्ध	Dua japana-ĉina milito
सिमसार	Malsekejo
नीम	Hinda azadiraĥto
शरीर	Korpo (biologio)
बार्दली	Balkono
इभा मेन्डीज	Eva Mendes
२०१८ फिफा विश्वकप	Futbala Mondpokalo 2018
चखेवा	Rusta tadorno
साधारण व्याज	Interezo
बाथ	Artrito
डर्‍म्याटोलोजी	Haŭtmedicino
ब्लगर (सेवा)	Blogger
बायो-सेवर्टको नियम	Leĝo de Biot-Savart
डस्ना	Matraco
सूर्यमुखी फूल	Sunfloro
सतलज नदी	Satleĝo
भुवनेश्वर	Bhubanesvar
लौकाट	Numidedoj
चिली राष्ट्रिय फुटबल टिम	Ĉilia nacia teamo de futbalo
बज्रयान	Vahrajana Budhismo
थार मरुभूमि	Dezerto Tar
सारी	Sario
कुचो	Balailo
गाउसको नियम	Gaŭsa leĝo
कार्बन १४ डेटिङ	Radiokarbona datado
खाद्य संरक्षण	Konservado
गजनी	Gazni
अर्धव्यास	Radiuso
प्रेमचन्द	Munshi Premchand
गौरीगाई	Gaŭro
राँची	Ranĉi
क्यालिफोर्निया विश्वविद्यालय, लसएन्जल्स	Universitato de Kalifornio ĉe Los-Anĝeleso
स्तनपान	Mamnutrado
मिश्रका पिरामिडहरू	Piramidoj de Egiptio
भिटामिन डी	Vitamino D
मौरी पालन	Abelbredado
ई.पू. ५१०	-510
नेपाल वित्तीय प्रतिवेदन मानहरु	Internaciaj Normoj pri Financa Raportado (IFRS/IAS)
२०१० फिफा विश्वकप	Futbala Mondpokalo 2010
छोरो	Filo
सरस्वती नदी	Sarasvati (rivero)
तोफु	Tofuo
अमेजन रेनफरेस्ट	Amazona arbaro
बसाइँ सराई	Migrado
मृगौलाशास्त्र	Nefrologio
काल	Verbotempo
खैरो गिद्ध	Ansergrifo
कोशिका सिद्धान्त	Ĉelteorio
बोधिसत्व	Bodhisatvo
जंगली बाख्रा	Natura kapro
शाकनाशी	Herbicido
राष्ट्रमण्ड खेल	Ludoj de la Komunumo de Nacioj
कालोढाडे लाहाँचे	Nigrapuga fajrdorsulo
कब्जियत	Konstipo
अन्तर्वार्ता	Intervjuo
चीन-जापान युद्ध	Unua japana-ĉina milito
घडी	Brakhorloĝo
प्रवालपाद	Himantopo
खजुराहो	Khaĝuraho
द अल्केमिष्ट	La alkemiisto
अष्ट्रीया सामाजिक-जनवादी पार्टी	Socialdemokratia Partio de Aŭstrio
राँडो	Vidvo
आयकर	Enspezimposto
गणन	Komputado
गोमायु महाचील	Stepaglo
आलेक्सान्द्रा कोलोन्ताइ	Aleksandra Miĥailovna Kolontaj
बर्मेसल्ला	Eŭropa taksuso
आर्य	Arjoj
पाइ दिवस	Pi-tago
उपग्रही घेरा	Planeda ringo
तिब्बती पठार	Tibeta Altebenaĵo
बालुवा समयक	Sablohorloĝo
सोरियासिस	Psoriazo
एयर फोर्स वन	Air Force One
ओशेनिया फुटबल संघ	OFC
ली ना	Li Na
१४००	14-a jarcento a.K.
आदि शंकराचार्य	Adi Ŝankara
मणितुण्डक	Granda merĝo
ब्रोड शिखर	Broad Peak
महाथीर मोहम्मद	Mahathir bin Mohamad
चाव युन	Chow Yun-Fat
लेखापरीक्षण	Aŭdito
कपुर	Kamforo
किङ लियर	La Tragedio de Reĝo Lear
रोर्वट पिल	Robert Peel
जनै खटिरा	Zostero (medicino)
प्लास्टिक शल्यक्रिया	Plastika kirurgio
मेहन्दीको बोट	Henao
बिङ	Bing (retejo)
अलङ्कार (साहित्य)	Vortfiguroj
निर्यात	Eksporto
गेओर्गी प्लेखानोभ	Georgij Pleĥanov
काँधचन्द्र चील	Botaglo
निर्वाचन प्रणाली	Balotsistemo
रामकृष्ण परमहंस	Ramakriŝna
सेप्सिस	Sepso
भिटामिन बी	Vitamino B
स्याम्युल कोल्ट	Samuel Colt
जलालाबाद, अफगानिस्तान	Ĝalalabado
डार्विनवाद	Darvinismo
प्राभ्दा	Pravda (rusa gazeto)
खैरो धानमुसा	Bruna rato
ग्यारेथ बेल	Gareth Bale
स्कटल्यान्ड यार्ड	Scotland Yard
लुइँचे	Bankiva koko
बगरबट्टाई	Trielo
सन् १९०५-१९०७ को प्रथम रुसी पुँजीजीवी प्रजातन्त्रवादी क्रान्ति	Rusia revolucio de 1905
जेसस नाभास	Jesús Navas
कुलवारी	Akvoralo
पानी घट्ट	Akvomuelejo
शुक्र सङ्क्रमण	Pasado de Venuso
मिस्रको इतिहास	Historio de Egiptio
मताधिकार	Balotrajto
माण्डले	Mandalajo
आठ-हजारी	Listo de la montoj pli altaj ol 8000 m
कला (तरंग)	Fazo
प्राङ्गारिक मल	Stala sterko
चिप्चिपे फिस्टो	Ĉifĉafo
अर्जुन	Arĵuno
फिजियोथेरापी	Fizioterapio
अयोध्या	Ajodhjo
गान्तोक	Gangtok
धर्मशाला	Dharamsala
नायन	Argalo
किम कार्दसियन	Kim Kardashian
कन्य च्याउ	Ostrofungo
लिटो	Kaĉo (manĝaĵo)
अष्ट्रीया जनता पार्टी	Aŭstria Popola Partio
अभिषेक बच्चन	Abhishek Bachchan
ग्यासरब्रम १	Gaŝerbrum 1
कुर्मा	Purpura porfirio
एबेल पुरस्कार	Abel-Premio
एलिसे प्यालेस	Palaco Elizeo
जिवा	Ĥordo (geometrio)
स्नायु शल्यक्रिया	Nervoĥirurgio
चन्द्रगुप्त मौर्य	Ĉandragupto Maŭrjo
दोस्रो इन्टरनेसनल	Dua Internacio
हनुमान	Hanumano
सञ्चालक समिति	Estraro
स्तनको मुन्टा	Mampinto
पाटे हुँडार	Hieno
प्रीति जिन्टा	Preity Zinta
भ्वाङ	Dolino
कालोटाउके चित्रकचरी	Montofringo
गुरूपूर्णिमा	Tago de instruisto
महाविद्यालय	Kolegio
गडी	Trono
गुराँस	Rododendro
फिस्टुला	Fistulo
ओटोल्यारिंजियोलोजी	Otorinolaringologio
कुमथोप्ले मणितुण्डक	Mezgranda merĝo
हुमायुँको चिहान	Tombo de Humajun
स्टार अलायन्स	Star Alliance
पाणिनि	Panini
परम उच्चावृत्ति (SHF)	Centimetra ondo
मण्टेसरी पद्धति	Montesoria pedagogio
विद्युत विच्छेदन	Jonigo
फिट्कीरी	Aluno
हिन्दू पञ्चाङ्ग	Hinda kalendaro
मलाहा बिरालो	Fiŝa kato
खोयाहाँस	Hinda ansero
द सतानिक वरेसस्	La satanaj versoj
मेन्सेविकहरू	Menŝeviko
कर्याङ–कुरुङ सारस	Fraŭlingruo
मालक हाँस	Blankokula anaso
भारतीय खाना	Barata kuirarto
हुस्सु	Brumo
सुनौलो बिरालो	Azia ora kato
बालश्रम	Infanlaboro
जेटल्याग	Horzonozo
भारतको प्रधानमन्त्री	Ĉefministroj de Barato
ग्लासगो विश्वविद्यालय	Universitato de Glasgovo
कोर्फबल	Korfpilkado
छ्यापी	Askalono
नितम्ब	Kokso
बन्जी जम्पिङ	Saltado sur ŝnuro
ठूलो झिली	Makula porzano
च्याखुरा	Ĉukaro
जल घड़ी	Akvohorloĝo
सत्याग्रह	Satyagraha
जलवियोजन	Dehidratiĝo
अलीगढ मुस्लिम विश्वविद्यालय	Universitato de Aligarh
राजेन्द्र प्रसाद	Rajendra Prasad
अन्तरवस्त्र	Subvesto
देहरादून जिल्ला	Dehradun
गुवाहाटी	Guvahati
विश्व वातावरण दिवस	Monda Tago de Medio
पुस्तकालय विज्ञान	Libraroscienco
भिटामिन सी	Vitamino C
सिन्डी क्रफोर्ड	Cindy Crawford
अरारत प्रान्त	Ararato (provinco)
गेघार्कुनिक प्रान्त	Gegharkunik
विजयवाड़ा	Vijajaŭada
जोधपुर	Ĝodhpur
लुधियाना	Ludhiana
वायोत्स द्ज़ोर प्रान्त	Vajoco-Dzoro
आजाद कश्मीर	Azad Kaŝmiro
गुच्चा (खेलौना)	Rulglobeto
नासिक	Nasiko
मेरठ	Merath
जिग्मे सिङगे वाङचुक	Jigme Singye Wangchuck
मथुरा	Mathura
मण्डारिन हाँस	Mandarenanaso
लोरी प्रान्त	Lori
शेर्पा जाति	Ŝerpoj
देवदूत मणितुण्डक	Blanka merĝo
लदाख	Ladako
गिल्गित-बाल्तिस्तान	Gilgit-Baltilando
बीकानेर	Bikaner
सूटकेस	Valizo
शिराक प्रान्त	Ŝirako
कालोगर्दने काठफोर	Griza pego
तावूश प्रान्त	Tavuŝo
अर्मावीर प्रान्त	Armaviro (provinco)
फुस्रो टिकटिके	Montarmotacilo
ज्ञानेन्द्र शाह	Ĝanendra de Nepalo
ओस्कार पिस्टोरियस	Oscar Pistorius
भिंडे खुर्सानी	Kapsiko
आसनसोल	Asansol
केट विन्स्लेट	Kate Winslet
अफ्रिकन ट्रिपानोसोमियासिस	Dormomalsano
प्लासीको पहिलो युद्ध	Batalo de Palaŝi
प्रजननदर	Naskindico
परेवा	Hejmkolombo
बल्छी	Fiŝhoko
आविष्कारक	Inventisto
शिला बगेडी	Rokemberizo
सवारी चालक अनुमति पत्र	Kondukpermesilo
मिती	Dato
श्वेतकण्ठ फिस्टो	Babilema silvio
बेसारे टिकटिके	Citronmotacilo
लालकण्ठे फालारोप	Ruĝkola falaropo
राफ्टिङ	Flosado
जुंगे भारद्वाज	Montalaŭdo
कटक	Kataka
चौर	Herbotapiŝo
टाइम वर्ष व्यक्ति	Persono de la jaro
विन्सोर म्याक्के	Winsor McCay
गोर्खाली	Gurkoj
पटियाला	Patiala
आनंद	Plezuro
अरबी मरुभूमि	Araba dezerto
हिमाली लेकचरी	Alpopronelo
जाँड	Elo (biero)
तसलीमा नसरिन	Taslima Nasrin
जल चुइयाँ	Akvopipio
सूत्र (हिन्दु धर्म)	Sutro
कोल्हापुर	Kolhapur
थियागो सिल्भा	Thiago Silva
श्रीखण्ड	Blanka santalo
श्येनपालन	Falkado
ब्रुक टायलर	Brook Taylor
कोलम्बिया राष्ट्रिय फुटबल टिम	Kolombia nacia teamo de futbalo
वारंगल	Warangal
कौडा	Konko
भालु बिरालो	Binturongo
टेबल हिमाल	Tablomonto (Sudafriko)
वातावरण पार्टी - हरियोहरू	Ekologia Partio La Verduloj (Svedio)
हार्मोनियम	Harmoniumo
पावल वाल्कर	Paul Walker
स्लिपिङ्ग ब्याग	Dormosako
वैदिक सभ्यता	Veda Civilizo
भल्भ	Korvalvo
व्यक्ति	Persono
नालंदा	Nalando
सवारी चालक	Ŝoforo
हाडजोर्नी शल्यचिकित्सा	Ortopedio
लघु बगेडी	Malgranda emberizo
सेन किंग्स्टन	Sean Kingston
समाजवादी-क्रान्तिकारी पार्टी	Socialista Revolucia Partio
मंगलबार सुरुहुने छोटो वर्ष	Superjaro komenciĝanta marde
तिलहरी चरा	Ibisbekulo
मोरारजी देसाई	Morarji Desai
अक्टोबर २०१२	Oktobro de 2012
नोभेम्बर २०१२	Novembro de 2012
दलित	Dalito
भिक्टोरिया क्रस	Viktoria kruco
ललित कला	Belartoj
एडम लेभिन	Adam Levine
संयुक्त राष्ट्र सचिवालय	Sekretariejo de la Unuiĝintaj Nacioj
बन्दी प्रत्यक्षीकरण	Habeas corpus
सल्ले च्याउ	Oranĝfungo
ई.पू. ५२१	-521
अफीमको लड़ाइं	Opia milito
सल्ले बगेडी	Blankverta emberizo
ध्रुवीय उपग्रह प्रक्षेपण यान	PSLV
एक बच्चा नीति	Unuinfana politiko
प्याट्रिक मोदियानो	Patrick Modiano
मेना सुभारी	Mena Suvari
महिला अधिकार	Virinaj rajtoj
बहुदलीय प्रणाली	Multpartia sistemo
सुद्धोदन	Ŝuddhodana
ई.पू. ३५१	-351
ई.पू. ३५२	-352
ई.पू. ३५३	-353
ई.पू. ३६८	-368
ई.पू. ३६९	-369
ई.पू. ३७१	-371
ई.पू. ३७२	-372
ई.पू. ३७३	-373
ई.पू. ३७४	-374
ई.पू. ३७५	-375
ई.पू. ३७७	-377
ई.पू. ३७८	-378
कर्कलो	Taro (planto)
जीवाहार महाचील	Granda kriaglo
ई.पू. ३७९	-379
सिजरियन सेक्सन	Cezara sekco
ताला	Seruro
ई.पू. ३८१	-381
ई.पू. ३८३	-383
मदुरै	Maduraj
ई.पू. ३८६	-386
ई.पू. ३८८	-388
ई.पू. ३९१	-391
ई.पू. ३९२	-392
ई.पू. ३९३	-393
प्रवेशाज्ञा	Visa
भारतीय अन्तरिक्ष अनुसन्धान संगठन	Barata Organizo pri Kosmo Esplorado
ई.पू. ३९४	-394
ब्रिटेन	Britio (apartigilo)
कस्तुरी मृग	Moskulo
कैलाश पर्वत	Kajlaŝ
ई.पू. ३९५	-395
ई.पू. ३९७	-397
ई.पू. ३९८	-398
जरायो	Akvocervo
सानो बौंडाई	Malgranda turfalko
दिल्ली सल्तनत	Delhia Sultanujo
लोक सभा	Lok Sabha
अक्साई चिन	Akesajĉino
श्वेत भुइँचील	Stepcirkuo
अन्ना हजारे	Anna Hazare
ओलेभ वेडेन पावेल	Olave Baden-Powell
ई.पू. ४०१	-401
ई.पू. ४०२	-402
भीमराव अम्बेडकर	Bhimrao Ramji Ambedkar
ई.पू. ४०३	-403
ई.पू. ४११	-411
ई.पू. ४१२	-412
राजधनेश	Granda bunta bucero
ट्रयासी लर्ड्स	Traci Lords
ई.पू. ४२१	-421
अटल बिहारी वाजपेयी	Atal Bihari Vajpayee
ई.पू. ४२२	-422
ई.पू. ४२३	-423
ई.पू. ४२४	-424
ई.पू. ४२५	-425
ई.पू. ४२६	-426
ठिमाहा फ्यालफ्याले	Blankvanga ŝterno
मानसरोवर	Lago Manasarovar
जामा मस्जिद	Moskeo de la Vendredoj
लामखुट्टे श्येनबाज	Aglobuteo
ई.पू. ४२८	-428
पञ्चतन्त्र	Panĉatantra
नर्मदा नदी	Narmado
कोहिमा	Kohima
रतुवा	Muntjako
बेल	Aegle marmelos
सैजन	Moringa oleifera
ई.पू. ४३९	-439
मोरङ्गी चील	Nizaglo
नमाज	Salat
देवदुत	Anĝelo
ई.पू. ४५८	-458
ई.पू. ४६०	-460
ई.पू. ४६४	-464
सोमबार सुरुहुने साधारण वर्ष	Normala jaro komenciĝanta lunde
बिहिबार सुरुहुने छोटो वर्ष	Normala jaro komenciĝanta ĵaŭde
ई.पू. ४६५	-465
सामवेद	Samavedo
कम्मर	Talio (korpa parto)
फेब्रुअरी २०१०	Februaro de 2010
ई.पू. ४७६	-476
जेनवरी २०१०	Januaro de 2010
ई.पू. ४७७	-477
क्लारा मोर्गन	Clara Morgane
ई.पू. ४८३	-483
ई.पू. ४८५	-485
ई.पू. ४८६	-486
ई.पू. ४८७	-487
जून २०१०	Junio de 2010
एज यू लाइक इट	Kiel plaĉas al vi
ई.पू. ४९३	-493
झिली	Pigmea porzano
ई.पू. ४९४	-494
शोलापुर	Solapur
ई.पू. ४९६	-496
ई.पू. ४९७	-497
ई.पू. ४९८	-498
ई.पू. ४९९	-499
मे २०१०	Majo de 2010
शिवाजी	Ŝivaĝi
ई.पू. ५००	-500
लालकण्ठे चुइयाँ	Ruĝgorĝa pipio
सेतोपंखे फ्यालफ्याले	Blankflugila ŝterno
ई.पू. ५११	-511
अक्टोबर २०१०	Oktobro de 2010
अगस्ट २०१०	Aŭgusto de 2010
भिलाई	Bhilai
मेहरगढ़ संस्कृति	Mehrgarh
सेप्टेम्बर २०१०	Septembro de 2010
निकिता डेनिस	Nikita Denise
क्यामिला भ्यालेजो	Camila Vallejo
मार्च २०१०	Marto de 2010
ई.पू. ५२०	-520
ई.पू. ५२५	-525
जुलाई २०१०	Julio de 2010
सहारनपुर	Saharanpur
जैसलमेर	Jaisalmer
अप्रिल २०१०	Aprilo de 2010
भावनगर	Bhavnagar
चिकनगुन्या	Ĉikungunjo
जेनवरी २०११	Januaro de 2011
नाफा नोक्सान हिसाब	Spezokonto
ई.पू. ५४६	-546
ई.पू. ५४७	-547
ई.पू. ५४८	-548
ई.पू. ५४९	-549
ई.पू. ५५०	-550
ई.पू. ५५१	-551
ई.पू. ५५३	-553
सानो ओत	Kurtunga lutro
सिलसिले	Sudazia arbanaso
सुनजुरे हाँस	Ruĝkapa anaso
गोरखपुर	Gorakhpur
खरबट्टाई	Ĉina koturno
ई.पू. ५८०	-580
ई.पू. ५८१	-581
ई.पू. ५८२	-582
हेनरी पेल्हाम	Henry Pelham
ई.पू. ५८७	-587
ई.पू. ५९२	-592
मार्च २०११	Marto de 2011
नोभेम्बर २०१०	Novembro de 2010
फेब्रुअरी २०११	Februaro de 2011
ई.पू. ६००	-600
ई.पू. ६०१	-601
लामो ठुँडे गिद्ध	Hindia gipo
डिसेम्बर २०१२	Decembro de 2012
एन्जेल डी मारिया	Ángel Di María
हलोविन	Halloween
फिफा	FIFA
एकस्व	Patento
