Āfrika	Afriko
Keitija Holmsa	Katie Holmes
Orfejs	Orfeo
Alise Brīnumzemē	Alice in Wonderland (2010)
Cēzara balva	César
Alfi	Elfo
Pedru Alvarišs Kabrals	Pedro Álvares Cabral
Rentgenlampa	Lampo de Röntgen
Sēklinieku maisiņš	Skroto
Slovākijas futbola izlase	Slovaka nacia teamo de futbalo
Mobijs Diks	Moby-Dick
V-2 raķete	V-2
Vairākplatformu programmatūra	Plursistema
Tuzla	Tuzla
Bazīdijsēnes	Bazidiomicetoj
Eļļas glezniecība	Oleo-pentrado
Kalifornijas universitāte (Losandželosa)	Universitato de Kalifornio ĉe Los-Anĝeleso
Kodeīns	Kodeino
Asku sēnes	Askofungoj
Centimetrs	Centimetro
Rīgas jūras līcis	Golfo de Rigo
United Airlines	United Airlines
Abdulmedžids I	Abd-ul-Meĝid
Rīkle	Faringo
Milimetrs	Milimetro
Soundgarden	Soundgarden
Austrālijas vēsture	Historio de Aŭstralio
Skolioze	Skoliozo
Elēģija	Elegio
Svētā Terēze no Avilas	Tereza el Avilo
Tertulliāns	Tertuliano
Analogais signāls	Analoga
Alans Šepards	Alan B. Shepard Jr.
Failu sistēma	Dosiersistemo
Besarābija	Besarabio
Papildinātājs	Objekto (gramatiko)
Anemometrs	Anemometro
Fernandu di Noronjas sala	Fernando de Noronha
SVID analīze	FLAM-analizo
Kotdivuāras futbola izlase	Ebur-Borda nacia teamo de futbalo
Onomastika	Nomscienco
Tempera	Tempero
Pīters Geibriels	Peter Gabriel
Kunovice	Kunovice
Biotops	Biotopo
Novorževa	Novorĵev
Katods	Katodo
Hoplīts	Hoplito
Leonas karaliste	Reĝlando Leono
Rauls Meirelišs	Raúl Meireles
Kamerūnas futbola izlase	Kameruna nacia teamo de futbalo
Jaunzēlandes futbola izlase	Nov-Zelanda nacia teamo de futbalo
Novosokoļņiki	Novosokolniki
Babilonijas trimda	Ekzilo babilona
Traheja	Traĥeo
Novočerkaska	Novoĉerkassk
Noginska	Noginsk
Vikipēdija somu valodā	Finnlingva Vikipedio
Noriļska	Norilsk
Ņurba	Njurba
Ēģiptes piramīdas	Piramidoj de Egiptio
D vitamīns	Vitamino D
Odincova	Odincovo (Moskva provinco)
Tuneļefekts	Tunela efiko
Frīdekmīstekas apriņķis	Distrikto Frýdek-Místek
Ozjorska (Kaļiņingradas apgabals)	Ozjorsk (urbo en Kaliningrada provinco)
Mikrometrs	Mikrometro
Vāclavs I Pšemisls	Venceslao la 1-a (Bohemio)
Dzīves līmenis	Vivnivelo
Fobija	Fobio
Boila—Mariota likums	Leĝo de Boyle
Nīflheima	Niflheim
Austrumazerbaidžāna	Orienta Azerbajĝano
Lords Voldemorts	Lord Voldemort
Elektrods	Elektrodo
Nove Mjasto Lubavske	Nowe Miasto Lubawskie
Spirit	Spirit
Klimkovice	Klimkovice
P-n pāreja	Junto (elektro)
Biškopība	Abelbredado
PFK CSKA Maskava	PFK CSKA Moskvo
Galīgs automāts	Stata aŭtomato
Supertramp	Supertramp
Arābu skaitļi	Eŭropaj ciferoj
Gotika (arhitektūra)	Gotika arĥitekturo
Augšstilba kauls	Femurosto
Ziemeļu polārais loks	Arkta Cirklo
Ziemeļu tropu loks	Tropiko de Kankro
Orehovozujeva	Oreĥovo-Zujevo
Lombards	Lombardejo
Slavinājums Brīvībai	Imnos is tin Eleftherian
Jāsons	Jazono
Ostrova (Krievija)	Ostrov (urbo en Rusio)
Valstu saraksts pēc Tautas attīstības indeksa	Landoj laŭ indico de homa disvolviĝo
Starptautiskie grāmatvedības standarti	Internaciaj Normoj pri Financa Raportado (IFRS/IAS)
2010. gada FIFA Pasaules kauss	Futbala Mondpokalo 2010
Otrais termodinamikas likums	Dua leĝo de termodinamiko
Burger King	Burger King
Neiroglija	Glia ĉelo
Dziedātājs	Kantisto
Dēls	Filo
Robeža (matemātika)	Limeso
Asociativitāte	Asocieco
Tālredzība	Hipermetropio
Militārisms	Militarismo
Marsa pavadoņi	Naturaj satelitoj de Marso
Bobslejs	Bobado
Boriss Spaskis	Boris Spasskij
Alumīnija oksīds	Aluminia oksido
Dēmons	Demono
Anticiklons	Kontraŭciklono
Dienvidu tropu loks	Tropiko de Kaprikorno
Baikonuras kosmodroms	Kosmodromo Bajkonur
IPTV	IPTV
ARPANET	ARPANET
Parafīns	Parafino
Amazones lietus mežs	Amazona arbaro
Steradiāns	Steradiano
Cilvēku migrācija	Migrado
Falanga	Falango
Maikons Sisenandu	Maicon Sisenando
Darbības vārda laiks	Verbotempo
Andrea Palladio	Andrea Palladio
Menopauze	Menopaŭzo
Medicīniskā diagnostika	Diagnozo (medicino)
Abstraktais ekspresionisms	Abstrakta ekspresionismo
Vudū	Voduo
Loģistika	Loĝistiko
Garīdzniecība	Kleriko
Magnētiskās indukcijas plūsma	Magneta flukso
Kālija nitrāts	Kalia nitrato
Vikipēdija japāņu valodā	Japanlingva Vikipedio
Samosatas Lukiāns	Lukiano
Baltgalvas grifs	Ansergrifo
Antante	Triopa Entento
Valhalla	Valhalo
Francijas pilsētu uzskaitījums	Listo de urboj de Francio
Karpveidīgās	Ciprinoformaj
Pavlovska	Pavlovsk (Sankt-Peterburgo)
Induktivitāte	Induktanco
Eratostena siets	Kribrilo de Eratosteno
Ištvāns I	Stefano la 1-a (Hungario)
Steroīdi	Steroido
Pirmais Balkānu karš	Unua Balkana milito
Kas nogalina lakstīgalu... (filma)	To Kill a Mockingbird
Steks (datu struktūra)	Staplo (komputado)
Rapsis	Kolzo
Gajs Marijs	Kajo Mario
Daktiloskopija	Fingrospuro
Fullerēns	Fulereno
Elektromagnēts	Elektromagneto
Glotāls slēdzenis	Glota halto
Kopne	Buso (komputiko)
Parafīlija	Parafilio
Žorža Pompidū centrs	Centro Georges Pompidou
Dzimumdziņa	Libido
The Police	The Police
Sesils Pauels	Cecil Frank Powell
Peveka	Pevek
Šķēpa mešana	Lancoĵeto
Vašingtona monuments	Vaŝingtona Monumento
Ārija	Ario
Surtseja	Surtsey
Snovbords	Neĝtabulado
1928. gada Vasaras Olimpisko spēļu medaļu tabula	Medaltabelo de la Somera Olimpiko 1928
Bodisatva	Bodhisatvo
Koscjuško kalns	Monto Kosciuszko
Asgarda	Ásgarðr
Vektoriālais reizinājums	Vektora produto
Mukoviscidoze	Mukoviskozeco
Diofants	Diofanto de Aleksandrio
Morfoloģija	Morfologio
Savvaļas kaza	Natura kapro
Kāšgalvjtārpi	Acanthocephala
Ivanofrankivskas apgabals	Ivano-Frankivska provinco
Spāņu gripa	Hispana gripo
Dodekaedrs	Dekduedro
Pēterhofa	Petergof
Turīnas līķauts	Mortotuko de Torino
Nāciju Sadraudzības spēles	Ludoj de la Komunumo de Nacioj
An-225	Antonov An-225
Centriola	Centriolo
Jūrmala	Jūrmala
Lizīns	Lizino
Leksikoloģija	Leksikologio
Dari	Daria lingvo
Asparagīnskābe	Asparta acido
Ikebana	Ikebano
Biafra	Biafro
X Window System	Fenestra Sistemo X
Mapuči	Mapuĉoj
Spieķkauls	Radiuso (osto)
Sabiedriskais transports	Publika transporto
Kalifornijas pussala	Kalifornia Duoninsulo
Determinants	Determinanto
Mašīnpistole	Mitraleto
Kauja	Batalo
Skaņuplate	Gramofondisko
Libertisms	Libertarianismo
Kontinentu dreifs	Kontinenta drivo
Portugāļi	Portugaloj
Mūra likums	Leĝo de Moore
Nanometrs	Nanometro
Kikbokss	Piedbato-bokso
Kafu	Cafu
Iedzimtība	Heredo (genetiko)
Baltirbe	Lagopo
Lielais Sālsezers	Granda Sala Lago
Copa América	Amerika Pokalo
Gāzes strūklas dzinējs	Jetmotoro
Arodbiedrība	Sindikato
Mīna	Tera mino
Sīrijas pilsoņu karš	Siria enlanda milito
Herkulāna	Herkulano
Garstilbis	Himantopo
Rasas punkts	Rosopunkto
Mihails Botviņņiks	Miĥail Botvinnik
Simts vientulības gadu	Cent jaroj da soleco
Dievība	Diaĵo
Kompresors	Kunpremilo
Aleksandrs Hamiltons	Alexander Hamilton
Minerālūdens	Mineralakvo
Grankanārija	Gran Canaria
Reinoldsa skaitlis	Nombro de Reynolds
Okultisms	Okultismo
Operacionālais pastiprinātājs	Operacia amplifilo
Mājas sesks	Furo
Silikātu minerāls	Silikato
Džordžtauna	Ĝorĝtaŭno
Oda	Odo
Austrālijas Antarktiskā Teritorija	Antarkta Teritorio pretendata de Aŭstralio
Sīkdatne	Kuketo
Kebabs	Kebabo
Projektu vadība	Projekt-administrado
Jo	Io (mitologio)
Finvalis	Balenoptero
Vaterlo	Waterloo
Līza Kudrova	Lisa Kudrow
Dabas rezervāts	Naturrezervejo
Sprādziens	Eksplodo
Kijevas @@@u0026Dinamo"	Dinamo Kievo
Birža	Borso
Parapsiholoģija	Parapsikologio
Japānas Aerokosmisko pētījumu aģentūra	Japana Aerokosmo Esplorado Agentejo
Rolāns Barts	Roland Barthes
Džons Raskins	John Ruskin
Henrijs Hadsons	Henry Hudson
Strukturālisms	Strukturismo
Torresa šaurums	Toresa Markolo
CU	Cu
Indiana Džonss un likteņa templis	Indiana Jones kaj la Templo de Pereo
Ienākuma nodoklis	Enspezimposto
Jāšana	Rajdado
Fenomenoloģija	Fenomenologio
Smailīte	Kajako
Albāņi	Albanoj
1812. gada karš	Franca invado al Rusio
Morāva	Moravo
Timbaland	Timbaland
Riboze	Ribozo
Džovanni Pjerluidži da Palestrina	Giovanni Pierluigi da Palestrina
Cēlonība	Kaŭzeco
RAID	RAID
Oldernija	Alderney
Paradīzes putnu dzimta	Paradizeedoj
Ballistiskā raķete	Balistika misilo
Zaļā vārna	Koracio
Griniča	Greenwich
Pečora (pilsēta)	Peĉora (urbo)
Lincoln	Lincoln
Reflekss	Reflekso
Pečori	Peĉori
Keita Bekinseila	Kate Beckinsale
Masāža	Masaĝo
Sekstants	Sekstanto
Pavadoņnavigācija	Tergloba navigada satelita sistemo
Asimptota	Asimptoto
Pioņerska (pilsēta)	Pionerskij
Demagoģija	Demagogio
Troksnis	Bruo
Psiholingvistika	Psikolingvoscienco
Ledus laikmets 3: Dinozauru ēra	Ice Age: Dawn of the Dinosaurs
Ailenda ezers	Island (Lago)
Maslova vajadzību hierarhija	Piramido de bezonoj laŭ Maslov
Grieķu uguns	Greka fajro
Kapetingu dinastija	Kapetidoj
Gaels Garsija Bernāls	Gael García Bernal
Atavalpa	Ataŭalpo
Spektra klase	Klasigo de steloj
Baltkrievijas ģerbonis	Blazono de Belorusio
Naņnina	Naningo
Čehijas pilsētu uzskaitījums	Listo de urboj de Ĉeĥio
Sāļums	Saleco
Sindroms	Simptomaro
Edvards Elgars	Edward Elgar
Gamma	Gamo
Terapija	Terapio
Nacionāla valsts	Nacio-ŝtato
Lingvistiskās relativitātes teorija	Hipotezo de Sapir-Whorf
Alfrēds de Misē	Alfred de Musset
Bjērns Ulveuss	Björn Ulvaeus
Distanču slēpošana	Skikurado
Statuja	Statuo
Svētā Katrīna no Aleksandrijas	Katarina de Aleksandrio
Naftalīns	Naftalino
Parastā īve	Eŭropa taksuso
Aizspriedums	Antaŭjuĝo
Dagerotipija	Dagerotipio
Ass slīpums	Aksa dekliniĝo
Pedro Rodrigess Ledesma	Pedro Rodríguez Ledesma
Planētas gredzens	Planeda ringo
Šo	Ŝo (litero)
Askēze	Asketismo
Zelta palmas zars	Ora Palmo
Pirmais Konstantinopoles koncils	Unua koncilio de Konstantinopolo
Etiopijas Ortodoksālā baznīca	Etiopia Ortodoksa Eklezio
Jelgava	Jelgava
Zelta rags	Ora Korno
Stjuartu dinastija	Stuartoj
Džohars Dudajevs	Ĝoĥar Dudajev
1985. gada Eirovīzijas dziesmu konkurss	Eŭrovido-Kantokonkurso 1985
Urho Kekonens	Urho Kekkonen
Īrijas administratīvais iedalījums	Graflandoj de Irlando
Lipāru salas	Liparaj insuloj
Jakobīņi	Jakobeno
Aristīds Briāns	Aristide Briand
Topoloģiska telpa	Topologia spaco
Dāvids (Mikelandželo)	Davido de Mikelanĝelo
Smilšu pulkstenis	Sablohorloĝo
Mūžīgais sasalums	Ĉiamfrosta grundo
Bioluminiscence	Bioluminesko
Psoriāze	Psoriazo
Šķielēšana	Strabismo
Paleogrāfija	Paleografio
Kakapo	Kakapo
Elektroencefalogrāfija	Elektroencefalografio
Air Force One	Air Force One
Eira ezers	Eyre
Rekursija	Rikuro
Aktuārs	Aktuario
Stšelinas apriņķis	Distrikto Strzeliński
Biopsija	Biopsio
Klaudio Markīzio	Claudio Marchisio
Metadons	Metadono
Baltais zaķis	Neĝleporo
Kohkīlūje un Būjerahmada	Provinco Kohkilujeh kaj Bujer Ahmad
Ziemeļhorasāna	Provinco Norda Ĥorasano
Galīcija	Galicio
Tirāns	Tirano (reganto)
Ben-Hurs	Ben Hur (filmo, 1959)
Margareta Mīda	Margaret Mead
Purims	Purimo
Haubice	Haŭbizo
Kilometri stundā	Kilometro en horo
Metadati	Meta-dateno
Planieris	Glisilo
Kozani	Kozano (urbo)
Hondurasas futbola izlase	Hondura nacia teamo de futbalo
Harju apriņķis	Harjumaa
Stefans Banahs	Stefan Banach
Lenijs Kravics	Lenny Kravitz
Pori	Pori
Stokholmas sindroms	Stokholm-sindromo
Erīnijas	Erinioj
Skarlatīna	Skarlatino
Gospelis	Gospelo
Šartras Dievmātes katedrāle	Katedralo de Chartres
Šarls Guno	Charles Gounod
Defise	Streketo
Skriemeļi	Vertebro
Lilians Tirāms	Lilian Thuram
Metionīns	Metionino
Okeānijas Futbola Konfederācija	OFC
Siroko	Siroko
Rēzekne	Rēzekne
Izkliedētais disks	Disa disko
Josemitu nacionālais parks	Nacia Parko Yosemite
Vapiti	Kanada cervo
Skropstiņas	Cilio
Li Na	Li Na
Dollija Partone	Dolly Parton
Populisms	Popolismo
Sāgas	Sagao
Aļaskas līcis	Alaska Golfo
Prizma	Prismo
Neolīta revolūcija	Neolitika revolucio
1996. gada Eiropas čempionāts futbolā	Eŭropa Futbal-Ĉampionado 1996
Milans Barošs	Milan Baroš
Georgijs Maļenkovs	Georgij Malenkov
Gaisa mitrums	Humideco
Melanoma	Melanomo
Izkliedētā skaitļošana	Disa komputado
Tigrans Petrosjans	Tigran Petrosjan
Gaismas piesārņojums	Luma poluo
Mario Kempess	Mario Kempes
Sāra Mišela Gelāra	Sarah Michelle Gellar
SOK valstu un teritoriju kodi	Listo de IOK-kodoj
Midgarda	Midgard
Konflikts	Konflikto
Patēriņa cenu indekss	Konsumpreza indico
Sinhronā peldēšana	Sinkrona naĝado
Džons Keidžs	John Cage
Velsas princis	Princo de Kimrujo
Lauta	Liuto
Elements	Elemento
Azerbaidžānas futbola izlase	Azera nacia teamo de futbalo
Tiristors	Tiristoro
Karpentārija līcis	Karpentaria Golfo
Lielveikals	Superbazaro
Amēlija Moresmo	Amélie Mauresmo
Onikss	Onikso
Tordesiljasas līgums	Traktato de Tordesillas
Atomiums	Atomium
Melatonīns	Melatonino
Džons Vilkss Būts	John Wilkes Booth
Omdurmāna	Omdurman
Lodes grūšana	Globoĵeto
Šia Lebafs	Shia LaBeouf
Cēzara šifrs	Ĉifro de Cezaro
Fakultāte	Fakultato
Āzijas savvaļas ēzelis	Hemiono
Ādi Šankara	Adi Ŝankara
Endrū Loids Vebers	Andrew Lloyd Webber
Kirovohradas apgabals	Kirovohrada provinco
Antonio Kasāno	Antonio Cassano
Brodpīks	Broad Peak
Triptofāns	Triptofano
Puzle	Puzlo
Mazais zēns	Little Boy
Bāčas-Kiškunas meģe	Bács-Kiskun
Monro doktrīna	Doktrino de Monroe
Disidents	Disidento
Apzinātā sapņošana	Lucida sonĝo
Mehāniskais apelsīns (filma)	A Clockwork Orange (filmo)
Sentkitsas un Nevisas karogs	Flago de Sankta-Kito kaj Neviso
Glutamīnskābe	Glutama acido
Vegānisms	Veganismo
Tikala	Tikal
Disnejlenda	Disneyland
Jormunganda	Jörmungandr
Anods	Anodo
Prostatas vēzis	Prostata kancero
Kārlis Alberts	Karlo Alberto de Savojo
2020. gada Vasaras Olimpiskās spēles	Somera Olimpiko 2020
Vavra	Wavre (Belgio)
Ferencs II Rākoci	Francisko Rákóczi la 2-a
Dakaras rallijs	Ralio Parizo-Dakaro
Trnavas apgabals	Regiono Trnava
Skalārais reizinājums	Skalara produto
Jans Džeņnins	Chen Ning Yang
Grodņa	Grodno
Arhimēda spēks	Leĝoj de Arkimedo
Džou Žuņfa	Chow Yun-Fat
Dārlinga	Darling (rivero)
Audits	Aŭdito
Gulivera ceļojumi	La vojaĝoj de Gulivero
Dzimumdimorfisms	Seksa duformismo
Ārpuszemes dzīvība	Ekstertera vivo
Herberts Saimons	Herbert Simon
Bosnijas karš	Bosnia Milito
Pokrovska	Pokrovsk (Jakutio)
RSA šifrēšanas algoritms	RSA
Kampars	Kamforo
Biezknābja krauklis	Dikbeka korvo
Ivans Aivazovskis	Ivan Ajvazovskij
Pacients	Paciento
Glutamīns	Glutamino
Nikolajevas apgabals	Mikolajeva provinco
Paralēlskaldnis	Paralelepipedo
Ursula Le Gvina	Ursula K. Le Guin
Vašingtons Ērvings	Washington Irving
Džordžs R. R. Mārtins	George R. R. Martin
Sadī Karno	Nicolas Léonard Sadi Carnot
Karbonāti	Karbonato
Svētā Terēze no Lizjē	Tereza de Lisieux
Eliezers Ben-Jehuda	Eliezer Ben-Jehuda
Ungārijas pilsētu uzskaitījums	Listo de urboj de Hungario
Notikumu horizonts	Eventa horizonto
Pečeņegi	Peĉenegoj
Kompozītmateriāli	Kompozita materialo
Zvaigžņu kari: Impērija dod atbildes triecienu	Star Wars Episode V: The Empire Strikes Back
Protēze	Proteziko
Zvaigžņu kari: Džedaju atgriešanās	Star Wars Episode VI: Return of the Jedi
Please Please Me	Please Please Me
Lapēnranta	Lappeenranta
Fandi līcis	Golfo de Fundy
Spārnotā raķete	Krozmisilo
Trokšņu roks	Bruoroka muziko
Roberts Pīls	Robert Peel
Hans	Ĥano
Mediators (mūzika)	Plektro
Svens I Dakšbārda	Sven la 1-a (Danio)
Alžīrijas futbola izlase	Alĝeria nacia teamo de futbalo
Mihails Fjodorovičs Romanovs	Miĥail Fedoroviĉ Romanov
Herbārijs	Sekplantaro
Nigērijas futbola izlase	Niĝeria nacia teamo de futbalo
Sevans	Sevan
Stops (ierocis)	Arbalesto
Bohai jūra	Bohaj-maro
Arhaisms	Arkaismo
Rietumu puslode	Okcidenta duonglobo
Antonio Stradivāri	Antonio Stradivari
Trilleris	Trilero
Iziešana kosmosā	Eksterveturila agado
Mati Vanhanens	Matti Vanhanen
Leons Batista Alberti	Leon Battista Alberti
Restenberha	Rustenburg
Kumasi	Kumasi
2008. gada Vasaras Olimpisko spēļu medaļu tabula	Medaltabelo de la Somera Olimpiko 2008
Čehoslovākijas futbola izlase	Ĉeĥoslovakia nacia teamo de futbalo
Kredīts	Kredito
Jaroslavļas aviokatastrofa	Aviadila kraŝo en Jaroslavl 2011
Fetišisms	Fetiĉismo
Antikomunisms	Antikomunismo
Valuā dinastija	Domo de Valois
Marakaibo ezers	Marakajbo (lago)
Panamas zemesšaurums	Istmo de Panamo
Ziemas pils	Vintra Palaco
Zviedrijas monarhu uzskaitījums	Listo de svedaj reĝoj
Salpetris	Nitrato
1980. gada Eiropas čempionāts futbolā	Eŭropa Futbal-Ĉampionado 1980
1968. gada Eiropas čempionāts futbolā	Eŭropa Futbal-Ĉampionado 1968
1964. gada Eiropas čempionāts futbolā	Eŭropa Futbal-Ĉampionado 1964
Karaliskais pingvīns	Reĝa pingveno
Maroon 5	Maroon 5
Smadzeņu stumbrs	Cerba trunko
Sukot	Sukoto
Simpsonu filma	La Simpsonoj: La Filmo
Albīts	Albito
Panslāvisms	Tutslavismo
Pols Muni	Paul Muni
Indiana Džonss un kristāla galvaskausa karaļvalsts	Indiana Jones kaj la Reĝlando de la Kristala Kranio
Putradžaja	Putraĝajo
1972. gada Eiropas čempionāts futbolā	Eŭropa Futbal-Ĉampionado 1972
With The Beatles	With the Beatles
Kazahstānas ģerbonis	Blazono de Kazaĥio
Narkomānija	Droga dependeco
Bulgārijas pilsētu uzskaitījums	Listo de urboj de Bulgario
Bibliotekārs	Libraristo
Plastiskā ķirurģija	Plastika kirurgio
PSRS Iekšlietu Tautas komisariāts	NKVD
Adiabātisks process	Adiabata procezo
Žulju Sezars	Júlio César Soares de Espíndola
Portugāļu valodas valstu sadraudzība	Komunumo de portugallingvaj landoj
Endeavour	Kosmopramo Endeavour
Sevras līgums	Traktato de Sèvres
A Hard Day's Night	A Hard Day's Night
Šveices himna	Svisa psalmo
MESSENGER	MESSENGER
Roberts H. Godards	Robert Goddard
Senās Romas province	Romia provinco
Datorlingvistika	Komputa lingvoscienco
Diska mešana	Diskoĵetado
Līģeris	Ligro
Šērlija Templa	Shirley Temple
Imunitāte	Imuneco
Viljams Moriss	William Morris
Žaks Roge	Jacques Rogge
Džons Glenns	John Glenn
Samarieši	Samarianoj
Rods Stjuarts	Rod Stewart
Mikroshēmojums	Ĉefĉiparo
Hārpera Lī	Harper Lee
Balāde	Balado
Igijs Pops	Iggy Pop
Valdis Zatlers	Valdis Zatlers
Mārtens Stekelenburgs	Maarten Stekelenburg
Mūsdienu apokalipse	Apocalypse Now
Hērona formula	Formulo de Herono
Antidaļiņa	Antipartiklo
Eksports	Eksporto
Ivans Lendls	Ivan Lendl
Zalkšu dzimta	Kolubredoj
Feta	Feta-fromaĝo
Mežirbe	Bonazio
Forests Vitakers	Forest Whitaker
1984. gada Eiropas čempionāts futbolā	Eŭropa Futbal-Ĉampionado 1984
Muhameds Alī pašā	Muhammad Ali (paŝao)
Ņūts Gingričs	Newt Gingrich
Himēra	Ĥimero
Nāsira ezers	Naserlago
Karena Bliksena	Karen Blixen
Aleksandrija (nozīmju atdalīšana)	Aleksandrio (apartigilo)
Antarktikas Līgums	Antarkta traktato
Azūra krasts	Bordo Lazura
Koncerts	Koncerto
Kalcija hidroksīds	Kalcia hidroksido
Kuņmina	Kunmingo
Molekulu masa	Molekula maso
Nacionālais kopprodukts	Malneta Nacia Produkto
Vēderdejas	Ventra danco
Karš Afganistānā (no 2001)	Milito en Afganio (2001-nuntempo)
Laikapstākļu prognozēšana	Veterprognozo
Parastais žeņšeņs	Ginsengo
Poļeska	Polessk
Dispersija (optika)	Varianco (optiko)
Augšžokļa kauls	Maksilo
Turzovka	Turzovka
Gondola	Gondolo
Rezā šahs Pehlevī	Reza Ŝaho Pahlavi
X86	X86-arkitekturo
Saldais ēdiens	Deserto
Džeina Eira	Jane Eyre
Mērkaķi	Cerkopitekedoj
Augstākie vēži	Malakostrakoj
Kano	Kano (urbo)
Balsošanas sistēma	Balotsistemo
Surguta	Surguto
Helena Paparizu	Elena Paparizou
Vazopresīns	Vazopresino
Bendijs	Glitpilkado
The Beach Boys	The Beach Boys
Sestais prāts	The Sixth Sense
Mareja	Murray (rivero)
Izabella II (Spānija)	Isabel la 2-a (Hispanio)
Porhova	Porĥov
Sepse	Sepso
Trenčīnas apgabals	Regiono Trenčín
Počepa	Poĉep
Bišu dzeņu dzimta	Meropedoj
Mars Reconnaissance Orbiter	Mars Reconnaissance Orbiter
Gilberts Kīts Čestertons	Gilbert Keith Chesterton
JavaServer Pages	JSP
Arturs Rubinšteins	Artur Rubinstein
Pravdinska	Pravdinsk
Primorska (Kaļiņingrada)	Primorsk (urbo en Kaliningrada provinco)
Karloss IV	Karlo la 4-a (Hispanio)
Semjuels Kolts	Samuel Colt
Judīte Polgāra	Judit Polgár
Kārpcūka	Verukapro
Semjuels Džonsons	Samuel Johnson
Mitsubishi	Mitsubishi
Žoress Alfjorovs	Ĵores Alfjorov
Serīns	Serino
Ismets Ineni	İsmet İnönü
Ibadana	Ibadano
Diktators	Diktatoro
Armēnijas futbola izlase	Armena nacia teamo de futbalo
Tretjakova galerija	Tretjakova galerio
Laputis	Afido
Tobas ezers	Toba
Pelēkās zosis	Grizaj anseroj
Dzegužveidīgie	Kukoloformaj birdoj
Invazīva suga	Invadaj specioj
20. gadsimts p.m.ē.	20-a jarcento a.K.
Columbia Records	Columbia Records
Freds Hoils	Fred Hoyle
EMI	EMI (muzika eldonejo)
Perfokarte	Trukarto
Hīrons	Kirono
Portugāles valdnieku uzskaitījums	Listo de reĝoj de Portugalio
Somijas pilsētu uzskaitījums	Listo de urboj de Finnlando
Arhitrāvs	Arkitravo
Livonija	Livonio
Kloda Žada	Claude Jade
Pārtuksnešošanās	Dezertiĝado
Indīroks	Sendependa roko
Leona Luisa	Leona Lewis
Čupakabra	Chupacabras
Ferdinands I Habsburgs (Austrijas imperators)	Ferdinando la 1-a (Aŭstrio)
Laņdžou	Lanĝoŭo
Ernests Voltons	Ernest Walton
Banska Bistricas apgabals	Regiono Banská Bystrica
Ouens Čemberlens	Owen Chamberlain
Krīts	Kreto (ŝtono)
Li Džendao	Tsung-Dao Lee
Ivans V Romanovs	Ivano la 5-a
Teofils Gotjē	Théophile Gautier
Bušido	Buŝido
Pjezoelektriskais efekts	Piezoelektro
Davids Trezegē	David Trezeguet
Rumēlija	Rumelio
Čārlzs Rihters	Charles Francis Richter
Pitonu dzimta	Pitonedoj
Zenica	Zenica
Arābu zirgs	Araba ĉevalo
Prokopjevska	Prokopjevsk
Spraudnis (datorprogramma)	Kromprogramo
Kasešu bumba	Grapolbombo
Johans Štrauss I	Johann Strauß (patro)
Dānijas pilsētu uzskaitījums	Listo de urboj de Danio
Otrais Balkānu karš	Dua Balkana milito
Nuadibu	Nuadibu
Iedzimtais grēks	Prapeko
Labradoras jūra	Labradora Maro
Dzelzsbetons	Ŝtalbetono
Apollo 8	Apollo 8
Teodors Žeriko	Théodore Géricault
The Smashing Pumpkins	The Smashing Pumpkins
Raiens Babels	Ryan Babel
Pārvēršanās (novele)	La Metamorfozo
Pelēkā žurka	Bruna rato
Žilinas apgabals	Regiono Žilina
Lašu dzimta	Salmonedoj
Pustoška	Pustoŝka
Ig Nobela prēmija	Ig-Nobel-premio
Jurijs Žirkovs	Jurij Ĵirkov
Darijo Srna	Darijo Srna
Latvijas ģerbonis	Blazono de Latvio
HDMI	HDMI
Šahs (monarhs)	Ŝaho
Adelijas Zeme	Adelilando
Efesas koncils	Koncilio de Efeso
Godfrijs Herolds Hārdijs	Godfrey Harold Hardy
Lietuvas pilsētu uzskaitījums	Listo de urboj de Litovio
Mohaves tuksnesis	Mojave-Dezerto
Radioteleskops	Radioteleskopo
Pitalova	Pitalovo
Klods Makelele	Claude Makélélé
Nātrija nitrāts	Natria nitrato
Krēpjvilks	Kolhara lupo
Sendenī bazilika	Baziliko de Saint-Denis
Četru krāsu teorēma	Kvarkolormapa teoremo
Zārks	Ĉerko
Endrū Vailss	Andrew Wiles
Mēlarens	Mälaren
Patriks Blekets	Patrick Maynard Stuart Blackett
Leksikogrāfija	Leksikografio
Džerolāmo Kardāno	Gerolamo Cardano
Sofija Kovaļevska	Sofja Kovalevskaja
Nitras apgabals	Regiono Nitra
Absolūtā monarhija	Absoluta monarkio
Slepenais izlūkošanas dienests	MI6
Čārlzs Taunss	Charles Hard Townes
Minors	Minora gamo
Mārtins Šīns	Martin Sheen
Brūnaļģes	Brunalgoj
Volters Brateins	Walter Houser Brattain
Gerets Beils	Gareth Bale
Maksteņu kārta	Triĥopteroj
Žans Ženē	Jean Genet
Kūdra	Torfo
Desmitstūris	Deklatero
Būdika	Budiko
Toksīns	Toksino
Desmitcīņa	Dekatlono
Ogams	Ogamo
Tēvocis Sems	Uncle Sam
Glorija Estefana	Gloria Estefan
Fagocitoze	Fagocitado
Bernards Bolcāno	Bernard Bolzano
Periodiska funkcija	Perioda funkcio
Džeina Gudola	Jane Goodall
Brūce	Vundo
Rakstzīmju kodējums	Kodoprezento
Krusttēvs 2	The Godfather Part II
Sarkanā savvaļas vista	Bankiva koko
