আফ্রিকা	Afriko
বিষয়শ্রেণী:২৪৪-এ মৃত্যু	Kategorio:Mortintoj en 244
বিষয়শ্রেণী:২২৫-এ জন্ম	Kategorio:Naskiĝintoj en 225
টেমপ্লেট:Country flag IOC alias MON	Ŝablono:Lando flago IOK MON
টেমপ্লেট:Country flag IOC alias YUG	Ŝablono:Lando flago IOK YUG
বিষয়শ্রেণী:প্রশান্ত মহাসাগর	Kategorio:Pacifika Oceano
টেমপ্লেট:UF-hcard-person	Ŝablono:UF-hcard-persono
টেমপ্লেট:Country flag IOC alias BAH	Ŝablono:Lando flago IOK BAH
টেমপ্লেট:Country flag IOC alias AHO	Ŝablono:Lando flago IOK AHO
টেমপ্লেট:আফগানিস্তানের প্রদেশসমূহ	Ŝablono:Provincoj de Afganio
বিষয়শ্রেণী:প্যারামিটার অনুযায়ী বিষয়শ্রেণী	Kategorio:Kategorioj laŭ argumentoj
টেমপ্লেট:ইউরোপীয় ইউনিয়নের সদস্য	Ŝablono:Eŭropa Unio
বিষয়শ্রেণী:সিউল	Kategorio:Seulo
বিষয়শ্রেণী:১২৫-এ জন্ম	Kategorio:Naskiĝintoj en 125
বিষয়শ্রেণী:৬৯-এ জন্ম	Kategorio:Naskiĝintoj en 69
বিষয়শ্রেণী:১৩৩৫-এ মৃত্যু	Kategorio:Mortintoj en 1335
টেমপ্লেট:N/a	Ŝablono:N/a
বিষয়শ্রেণী:দেশ অনুযায়ী মন্ত্রণালয়	Kategorio:Ministerioj laŭ lando
বিষয়শ্রেণী:২১শ-শতাব্দীর লেখক	Kategorio:Verkistoj de la 21-a jarcento
বিষয়শ্রেণী:টাডোর্নিনি	Kategorio:Tadornenoj
বিষয়শ্রেণী:অ্যানাটিনি	Kategorio:Anasenoj
বিষয়শ্রেণী:১৪৫২	Kategorio:1452
বিষয়শ্রেণী:১৪৯৯	Kategorio:1499
বিষয়শ্রেণী:১৪৩৩	Kategorio:1433
টেমপ্লেট:Metadata Population DE-BB	Ŝablono:Metadatumoj pri nombroj de loĝantoj en Brandenburgio
বিষয়শ্রেণী:১০৩৭-এ জন্ম	Kategorio:Naskiĝintoj en 1037
বিষয়শ্রেণী:খ্রিস্টপূর্ব ৩০-এ মৃত্যু	Kategorio:Mortintoj en -30
বিষয়শ্রেণী:১৬০০-এ মৃত্যু	Kategorio:Mortintoj en 1600
বিষয়শ্রেণী:১৪৬৫	Kategorio:1465
বিষয়শ্রেণী:১৪০০-এ মৃত্যু	Kategorio:Mortintoj en 1400
বিষয়শ্রেণী:১৪৭২	Kategorio:1472
বিষয়শ্রেণী:হাশিমের পরিবার	Kategorio:Haŝemidoj
বিষয়শ্রেণী:বাংলাদেশী লেখক	Kategorio:Bengalaj verkistoj
বিষয়শ্রেণী:১৩৭২-এ মৃত্যু	Kategorio:Mortintoj en 1372
বিষয়শ্রেণী:হিব্রু ভাষা	Kategorio:Hebrea lingvo
বিষয়শ্রেণী:১৫৪৮-এ জন্ম	Kategorio:Naskiĝintoj en 1548
বিষয়শ্রেণী:১৪৭২-এ মৃত্যু	Kategorio:Mortintoj en 1472
বিষয়শ্রেণী:১৪৬৫-এ মৃত্যু	Kategorio:Mortintoj en 1465
বিষয়শ্রেণী:১৯০৪-এ মৃত্যু	Kategorio:Mortintoj en 1904
বিষয়শ্রেণী:সেরা-অনুকূলকরণ	Kategorio:Optimumigo
বিষয়শ্রেণী:১৯৭১-এর বই	Kategorio:Libroj aperintaj en 1971
বিষয়শ্রেণী:১৯৮৮-এর বই	Kategorio:Libroj aperintaj en 1988
বিষয়শ্রেণী:২০০২-এর বই	Kategorio:Libroj aperintaj en 2002
বিষয়শ্রেণী:১৯৩৪-এর বই	Kategorio:Libroj aperintaj en 1934
বিষয়শ্রেণী:১৯৯২-এর বই	Kategorio:Libroj aperintaj en 1992
বিষয়শ্রেণী:২০০১-এর বই	Kategorio:Libroj aperintaj en 2001
বিষয়শ্রেণী:১৯৭২-এর বই	Kategorio:Libroj aperintaj en 1972
বিষয়শ্রেণী:২০০৪-এর বই	Kategorio:Libroj aperintaj en 2004
টেমপ্লেট:Freenode	Ŝablono:IRC2
টেমপ্লেট:Box-shadow	Ŝablono:Kesta ombro
বিষয়শ্রেণী:দেশ অনুযায়ী ইসলাম	Kategorio:Islamo laŭ landoj
বিষয়শ্রেণী:মহাদেশ অনুযায়ী ইসলাম	Kategorio:Islamo laŭ kontinentoj
টেমপ্লেট:Multiple image	Ŝablono:Pluraj bildoj
বিষয়শ্রেণী:রেকর্ড লেবেল	Kategorio:Sondisko-eldonejoj
টেমপ্লেট:IPstack	Ŝablono:IPStako
বিষয়শ্রেণী:১৭৯৩-এ জন্ম	Kategorio:Naskiĝintoj en 1793
বিষয়শ্রেণী:১৮৫২-এ মৃত্যু	Kategorio:Mortintoj en 1852
বিষয়শ্রেণী:১৮৮০-এ মৃত্যু	Kategorio:Mortintoj en 1880
বিষয়শ্রেণী:১৮১২	Kategorio:1812
বিষয়শ্রেণী:১৭৯৩	Kategorio:1793
টেমপ্লেট:Legend0	Ŝablono:Priskribo0
টেমপ্লেট:জাতিসংঘ	Ŝablono:Unuiĝintaj Nacioj
বিষয়শ্রেণী:১৯৪২-এ মৃত্যু	Kategorio:Mortintoj en 1942
বিষয়শ্রেণী:১৯৭৭-এর চলচ্চিত্র	Kategorio:Filmoj aperintaj en 1977
বিষয়শ্রেণী:১৯৪২-এর চলচ্চিত্র	Kategorio:Filmoj aperintaj en 1942
বিষয়শ্রেণী:দেশ অনুযায়ী ক্রীড়া প্রতিযোগিতা	Kategorio:Sportaj eventoj laŭ landoj
বিষয়শ্রেণী:ক্যানারি দ্বীপপুঞ্জ	Kategorio:Kanarioj
টেমপ্লেট:El icon	Ŝablono:Greke
টেমপ্লেট:তথ্যছক রোগ	Ŝablono:Informkesto Malsano
টেমপ্লেট:ব্যবহারকারী/উইকিপিডিয়ান/প্রশাসক	Ŝablono:Uzanto Vikiadministranto
টেমপ্লেট:Weather box	Ŝablono:Informkesto jara klimo
বিষয়শ্রেণী:দেশ অনুযায়ী ভবন এবং কাঠামো	Kategorio:Fortikaĵoj laŭ landoj
বিষয়শ্রেণী:পেশীবহুল পদ্ধতি	Kategorio:Muskoloj
বিষয়শ্রেণী:তাসমানিয়া	Kategorio:Tasmanio
বিষয়শ্রেণী:ফরাসি ইহুদি	Kategorio:Francaj judoj
টেমপ্লেট:Script/Nastaliq	Ŝablono:Persa belskribo
বিষয়শ্রেণী:ওয়েবসাইট	Kategorio:Retejoj
বিষয়শ্রেণী:হাঙ্গেরীয় ভাষা	Kategorio:Hungara lingvo
বিষয়শ্রেণী:২০১৩-এর চলচ্চিত্র	Kategorio:Filmoj aperintaj en 2013
বিষয়শ্রেণী:১৫০৫	Kategorio:1505
বিষয়শ্রেণী:২৫১-এ মৃত্যু	Kategorio:Mortintoj en 251
টেমপ্লেট:Multiple issues	Ŝablono:Pluraj problemoj
বিষয়শ্রেণী:৭২০-এ মৃত্যু	Kategorio:Mortintoj en 720
বিষয়শ্রেণী:উইকিপিডিয়া আলোচনা	Kategorio:Vikipedio:Diskutejo
টেমপ্লেট:Cite doi	Ŝablono:Cite doi
টেমপ্লেট:Infobox Currency	Ŝablono:Informkesto valuto
এশিয়া ও অস্ট্রালেশিয়ার বিশ্ব ঐতিহ্যবাহী স্থানগুলির তালিকা	Listo de mondaj heredaĵoj en Azio kaj Oceanio
বিষয়শ্রেণী:গণিত টেমপ্লেট	Kategorio:Ŝablono:Matematiko
টেমপ্লেট:Sup	Ŝablono:Eksp
বিষয়শ্রেণী:আগ্নেয়গিরি	Kategorio:Vulkanoj
বিষয়শ্রেণী:১৫৮৫-এ মৃত্যু	Kategorio:Mortintoj en 1585
বিষয়শ্রেণী:১৫৫৬	Kategorio:1556
বিষয়শ্রেণী:১৫৮৫	Kategorio:1585
বিষয়শ্রেণী:১৫৯৬	Kategorio:1596
বিষয়শ্রেণী:১৫৫৩-এ মৃত্যু	Kategorio:Mortintoj en 1553
বিষয়শ্রেণী:১৫৫৬-এ মৃত্যু	Kategorio:Mortintoj en 1556
বিষয়শ্রেণী:১৫২১-এ মৃত্যু	Kategorio:Mortintoj en 1521
বিষয়শ্রেণী:১৫৬৪-এ মৃত্যু	Kategorio:Mortintoj en 1564
বিষয়শ্রেণী:১৫৩৬-এ মৃত্যু	Kategorio:Mortintoj en 1536
বিষয়শ্রেণী:১৫২১	Kategorio:1521
বিষয়শ্রেণী:মার্কিন চলচ্চিত্র প্রযোজক	Kategorio:Usonaj kinproduktoroj
বিষয়শ্রেণী:গুপ্তচরবৃত্তি	Kategorio:Spionado
টেমপ্লেট:NOR	Ŝablono:NOR
বিষয়শ্রেণী:১৫৬৪	Kategorio:1564
বিষয়শ্রেণী:বাংলাদেশী	Kategorio:Bangladeŝanoj
বিষয়শ্রেণী:৬৭২-এ মৃত্যু	Kategorio:Mortintoj en 672
বিষয়শ্রেণী:১১১১-এ মৃত্যু	Kategorio:Mortintoj en 1111
টেমপ্লেট:সাহিত্যে নোবেল পুরস্কার (২০০১-২০২৫)	Ŝablono:Portantoj de Nobel-premio por literaturo 2001-2025
বিষয়শ্রেণী:১৫৫৩	Kategorio:1553
বিষয়শ্রেণী:১৫৭৬	Kategorio:1576
বিষয়শ্রেণী:১৫৯২	Kategorio:1592
বিষয়শ্রেণী:১৫৩৬	Kategorio:1536
বিষয়শ্রেণী:১৫৬০	Kategorio:1560
বিষয়শ্রেণী:সৌদি আরবের রাজা	Kategorio:Reĝoj de Sauda Arabio
বিষয়শ্রেণী:দেশ অনুযায়ী ফুটবল প্রতিযোগিতা	Kategorio:Futbalaj konkursoj laŭ landoj
টেমপ্লেট:Lang-vi	Ŝablono:Lang-vi
বিষয়শ্রেণী:১৫৯৬-এ মৃত্যু	Kategorio:Mortintoj en 1596
টেমপ্লেট:Distinguish	Ŝablono:Ne konfuzu
টেমপ্লেট:সাহিত্যে নোবেল পুরস্কার প্রাপক ১৯৭৬–২০০০	Ŝablono:Portantoj de Nobel-premio por literaturo 1976-2000
বিষয়শ্রেণী:৬৬-এ মৃত্যু	Kategorio:Mortintoj en 66
বিষয়শ্রেণী:১৩৩৪-এ মৃত্যু	Kategorio:Mortintoj en 1334
বিষয়শ্রেণী:ক্ষেত্র অনুযায়ী দর্শন	Kategorio:Filozofio laŭ studkampoj
বিষয়শ্রেণী:সংস্কৃতির ইতিহাস	Kategorio:Kulturhistorio
বিষয়শ্রেণী:যাদুঘর শিক্ষা	Kategorio:Muzea scienco
বিষয়শ্রেণী:এশিয়ায় ধর্ষণ	Kategorio:Azia socio
বিষয়শ্রেণী:সাংস্কৃতি বিদ্যা	Kategorio:Kultursciencoj
বিষয়শ্রেণী:আফ্রিকা-সম্পর্কিত তালিকা	Kategorio:Listoj pri Afriko
বিষয়শ্রেণী:বনবিদ্যা	Kategorio:Arbara mastrumado
বিষয়শ্রেণী:মার্শাল আর্ট	Kategorio:Luktoarto
বিষয়শ্রেণী:মক্কা	Kategorio:Mekao
টেমপ্লেট:উইকিভ্রমণ	Ŝablono:Wikivoyage
বিষয়শ্রেণী:১৯৭৬-এর বই	Kategorio:Libroj aperintaj en 1976
বিষয়শ্রেণী:১৯৯৭-এর বই	Kategorio:Libroj aperintaj en 1997
টেমপ্লেট:Information	Ŝablono:Informo por dosiero
বিষয়শ্রেণী:মুসলিম ধর্মতাত্ত্বিক	Kategorio:Islamaj teologoj
বিষয়শ্রেণী:শ্রেষ্ঠ চলচ্চিত্র একাডেমি পুরস্কার বিজয়ী	Kategorio:Akademia Premio por plej bona filmo
বিষয়শ্রেণী:একাডেমি পুরস্কার বিজয়ী	Kategorio:Tenantoj de Oskaro
বিষয়শ্রেণী:১৯২২-এ মৃত্যু	Kategorio:Mortintoj en 1922
টেমপ্লেট:BRA	Ŝablono:BRA
বিষয়শ্রেণী:শতাব্দী অনুযায়ী দার্শনিক	Kategorio:Filozofoj laŭ jarcentoj
বিষয়শ্রেণী:ডাচ বংশোদ্ভূত আমেরিকান মানুষ	Kategorio:Nederlandaj usonanoj
টেমপ্লেট:Country flag IOC alias POL	Ŝablono:Lando flago IOK POL
টেমপ্লেট:Country flag IOC alias GER	Ŝablono:Lando flago IOK GER
বিষয়শ্রেণী:ওলন্দাজ দার্শনিক	Kategorio:Nederlandaj filozofoj
টেমপ্লেট:জীববৈজ্ঞানিক শ্রেণীবিন্যাস	Ŝablono:Biologia klasifikado
বিষয়শ্রেণী:১৭৭৭-এ মৃত্যু	Kategorio:Mortintoj en 1777
বিষয়শ্রেণী:১৭৯৩-এ মৃত্যু	Kategorio:Mortintoj en 1793
বিষয়শ্রেণী:১৭৯৪-এ মৃত্যু	Kategorio:Mortintoj en 1794
বিষয়শ্রেণী:১৭০৩-এ মৃত্যু	Kategorio:Mortintoj en 1703
বিষয়শ্রেণী:১৮২২-এ মৃত্যু	Kategorio:Mortintoj en 1822
বিষয়শ্রেণী:১৫৪৯-এ মৃত্যু	Kategorio:Mortintoj en 1549
বিষয়শ্রেণী:১৫৪৯	Kategorio:1549
বিষয়শ্রেণী:১৫৪২-এ মৃত্যু	Kategorio:Mortintoj en 1542
বিষয়শ্রেণী:১৭১৮	Kategorio:1718
বিষয়শ্রেণী:১৯৩১-এ মৃত্যু	Kategorio:Mortintoj en 1931
বিষয়শ্রেণী:১৮২৭-এ মৃত্যু	Kategorio:Mortintoj en 1827
টেমপ্লেট:Infobox Occupation	Ŝablono:Informkesto metio
টেমপ্লেট:Infobox diocese	Ŝablono:Informkesto episkopujo
উইকিপিডিয়া:বাবেল	Vikipedio:Babelejo
টেমপ্লেট:সাহিত্যে নোবেল পুরস্কার প্রাপক ১৯২৬–১৯৫০	Ŝablono:Portantoj de Nobel-premio por literaturo 1926-1950
বিষয়শ্রেণী:১৭৯৮-এ মৃত্যু	Kategorio:Mortintoj en 1798
বিষয়শ্রেণী:১৮২৯-এ মৃত্যু	Kategorio:Mortintoj en 1829
বিষয়শ্রেণী:১৮২৬-এ মৃত্যু	Kategorio:Mortintoj en 1826
টেমপ্লেট:Expand list	Ŝablono:Malkompleta listo
টেমপ্লেট:Country flag IOC alias HUN	Ŝablono:Lando flago IOK HUN
বিষয়শ্রেণী:১৭৯৯-এ মৃত্যু	Kategorio:Mortintoj en 1799
বিষয়শ্রেণী:১৭৭৮-এ মৃত্যু	Kategorio:Mortintoj en 1778
টেমপ্লেট:SI units navbox	Ŝablono:Mezurunuoj de SI
টেমপ্লেট:Country flag IOC alias BLR	Ŝablono:Lando flago IOK BLR
বিষয়শ্রেণী:১৫৪৭-এ মৃত্যু	Kategorio:Mortintoj en 1547
টেমপ্লেট:User sv-1	Ŝablono:Vikipediisto sv-1
বিষয়শ্রেণী:ভারতের সাহিত্য	Kategorio:Barataj literaturoj
বিষয়শ্রেণী:১২৩৪-এ মৃত্যু	Kategorio:Mortintoj en 1234
বিষয়শ্রেণী:১৩৩৬-এ জন্ম	Kategorio:Naskiĝintoj en 1336
বিষয়শ্রেণী:প্রাক্তন শিক্ষার্থী	Kategorio:Lernintoj
টেমপ্লেট:জলবায়ু চার্ট	Ŝablono:Klimata diagramo
বিষয়শ্রেণী:১৬৮৭	Kategorio:1687
বিষয়শ্রেণী:১৬১৪	Kategorio:1614
বিষয়শ্রেণী:১৬১২	Kategorio:1612
বিষয়শ্রেণী:১৬৫৩	Kategorio:1653
বিষয়শ্রেণী:১৬৭২	Kategorio:1672
বিষয়শ্রেণী:১৬৭৩	Kategorio:1673
বিষয়শ্রেণী:১৬১২-এ মৃত্যু	Kategorio:Mortintoj en 1612
বিষয়শ্রেণী:১৬৮০-এ মৃত্যু	Kategorio:Mortintoj en 1680
বিষয়শ্রেণী:১৬৯১-এ মৃত্যু	Kategorio:Mortintoj en 1691
বিষয়শ্রেণী:১৬৯১	Kategorio:1691
বিষয়শ্রেণী:১৬৫৫-এ মৃত্যু	Kategorio:Mortintoj en 1655
বিষয়শ্রেণী:১৬৫৯-এ মৃত্যু	Kategorio:Mortintoj en 1659
বিষয়শ্রেণী:১৬১৬-এ মৃত্যু	Kategorio:Mortintoj en 1616
বিষয়শ্রেণী:১৬১৪-এ মৃত্যু	Kategorio:Mortintoj en 1614
বিষয়শ্রেণী:১৬৬১-এ মৃত্যু	Kategorio:Mortintoj en 1661
বিষয়শ্রেণী:১৬৮৬-এ মৃত্যু	Kategorio:Mortintoj en 1686
বিষয়শ্রেণী:১৬৬১	Kategorio:1661
বিষয়শ্রেণী:১৬৫৩-এ মৃত্যু	Kategorio:Mortintoj en 1653
বিষয়শ্রেণী:ওলন্দাজ ফুটবলার	Kategorio:Nederlandaj futbalistoj
বিষয়শ্রেণী:১৬৫৫	Kategorio:1655
বিষয়শ্রেণী:১৬৮০	Kategorio:1680
বিষয়শ্রেণী:১৬৮৪	Kategorio:1684
টেমপ্লেট:RA	Ŝablono:RA
টেমপ্লেট:Sidebar with collapsible lists	Ŝablono:Flanka kesto kun kaŝeblaj listoj
বিষয়শ্রেণী:মার্চ	Kategorio:Marto
টেমপ্লেট:Country flag IOC alias BRA	Ŝablono:Lando flago IOK BRA
টেমপ্লেট:TUN	Ŝablono:TUN
বিষয়শ্রেণী:সামুরাই	Kategorio:Samurajoj
বিষয়শ্রেণী:১৯৯৪-এ মৃত্যু	Kategorio:Mortintoj en 1994
বিষয়শ্রেণী:১৯০৬-এ জন্ম	Kategorio:Naskiĝintoj en 1906
বিষয়শ্রেণী:চীনের ভূগোল	Kategorio:Geografio de Ĉinio
বিষয়শ্রেণী:জাতীয়তা অনুযায়ী সুরকার	Kategorio:Komponistoj laŭ landoj
টেমপ্লেট:গ্রিক বর্ণমালা	Ŝablono:Grekaj literoj
বিষয়শ্রেণী:মে	Kategorio:Majo
বিষয়শ্রেণী:সমকামিতা	Kategorio:Samseksemo
বিষয়শ্রেণী:পরিমাপ	Kategorio:Mezuro
কাম	Volupto
এক্সপ্রেশন (গণিত)	Esprimo (matematiko)
বিষয়শ্রেণী:৬৮০-এ মৃত্যু	Kategorio:Mortintoj en 680
বিষয়শ্রেণী:৬৬৯-এ মৃত্যু	Kategorio:Mortintoj en 669
টেমপ্লেট:Infobox canal	Ŝablono:Informkesto kanalo
বিষয়শ্রেণী:ইংল্যান্ড	Kategorio:Anglio
বিষয়শ্রেণী:মার্কিন সাহিত্য	Kategorio:Usona literaturo
বিষয়শ্রেণী:দেশ অনুযায়ী প্রাণীকুল	Kategorio:Faŭno laŭ landoj
টেমপ্লেট:Floor	Ŝablono:Floor
বিষয়শ্রেণী:২০১৩-এর কাজ	Kategorio:Verkoj de 2013
বিষয়শ্রেণী:এপ্রিল	Kategorio:Aprilo
বিষয়শ্রেণী:খাদ্য সংরক্ষণ	Kategorio:Konservado
টেমপ্লেট:CSS list-style-type values	Ŝablono:CSS3 multiple column layout
টেমপ্লেট:Languages	Ŝablono:Babel-ligilaro
বিষয়শ্রেণী:২০০৯-এ মৃত্যু	Kategorio:Mortintoj en 2009
বিষয়শ্রেণী:কম্পিউটিং বিষয়ক টেমপ্লেটগুলো	Kategorio:Ŝablono:Komputiko
বিষয়শ্রেণী:রয়েল সোসাইটি	Kategorio:Reĝa Societo de Londono
বিষয়শ্রেণী:সঙ্কোচন টেমপ্লেট	Kategorio:Ŝablono:Kaŝskatolo
বিষয়শ্রেণী:চিন্তা	Kategorio:Pensado
বিষয়শ্রেণী:বিশ্লেষণী দর্শন	Kategorio:Analiza filozofio
বিষয়শ্রেণী:১১৬১-এ জন্ম	Kategorio:Naskiĝintoj en 1161
বিষয়শ্রেণী:১১৪৮-এ জন্ম	Kategorio:Naskiĝintoj en 1148
বিষয়শ্রেণী:১২১৬-এ মৃত্যু	Kategorio:Mortintoj en 1216
টেমপ্লেট:Lang-ko	Ŝablono:Lang-ko
বিষয়শ্রেণী:কম্পিউটার বিজ্ঞান	Kategorio:Komputiko
বিষয়শ্রেণী:দেশ অনুযায়ী প্রত্নতত্ত্ব	Kategorio:Arkeologio laŭ landoj
বিষয়শ্রেণী:ফুল	Kategorio:Floroj
টেমপ্লেট:LUX	Ŝablono:LUX
বিষয়শ্রেণী:ক্রীড়া প্রতিযোগিতা	Kategorio:Sportaj konkursoj
ফুরিয়ে রূপান্তর	Konverto de Fourier
টেমপ্লেট:Coord/dms2dec	Ŝablono:Koord/gmsaldek
টেমপ্লেট:দক্ষিণ আমেরিকার জাতীয় সঙ্গীত	Ŝablono:Naciaj himnoj de Sud-Ameriko
টেমপ্লেট:Yes2	Ŝablono:Jes2
বিষয়শ্রেণী:অ্যানিমেশন চলচ্চিত্র	Kategorio:Animaciaj filmoj
টেমপ্লেট:Yes-No	Ŝablono:Jes-Ne
বিষয়শ্রেণী:পাখিবিজ্ঞান	Kategorio:Ornitologio
বিষয়শ্রেণী:১৩৮৮	Kategorio:1388
বিষয়শ্রেণী:১৪৫৩	Kategorio:1453
বিষয়শ্রেণী:৯৮০-এ জন্ম	Kategorio:Naskiĝintoj en 980
বিষয়শ্রেণী:১০৩৭-এ মৃত্যু	Kategorio:Mortintoj en 1037
বিষয়শ্রেণী:ঈশ্বর	Kategorio:Dio
বিষয়শ্রেণী:৪-এ জন্ম	Kategorio:Naskiĝintoj en 4
বিষয়শ্রেণী:৯	Kategorio:9
বিষয়শ্রেণী:১০-এ জন্ম	Kategorio:Naskiĝintoj en 10
বিষয়শ্রেণী:আন্তর্জাতিক সংস্থা	Kategorio:Internaciaj organizaĵoj
বিষয়শ্রেণী:১৭-এ মৃত্যু	Kategorio:Mortintoj en 17
বিষয়শ্রেণী:১৮-এ জন্ম	Kategorio:Naskiĝintoj en 18
বিষয়শ্রেণী:২৩-এ মৃত্যু	Kategorio:Mortintoj en 23
বিষয়শ্রেণী:২৭-এ জন্ম	Kategorio:Naskiĝintoj en 27
বিষয়শ্রেণী:৩০-এ জন্ম	Kategorio:Naskiĝintoj en 30
বিষয়শ্রেণী:৩২-এ জন্ম	Kategorio:Naskiĝintoj en 32
বিষয়শ্রেণী:৩৩-এ মৃত্যু	Kategorio:Mortintoj en 33
বিষয়শ্রেণী:ডোমিনিকান প্রজাতন্ত্র	Kategorio:Domingo
বিষয়শ্রেণী:৩৭-এ জন্ম	Kategorio:Naskiĝintoj en 37
বিষয়শ্রেণী:পেরুভিও সাহিত্যিক	Kategorio:Peruaj verkistoj
বিষয়শ্রেণী:৪০-এ জন্ম	Kategorio:Naskiĝintoj en 40
বিষয়শ্রেণী:৪১-এ মৃত্যু	Kategorio:Mortintoj en 41
বিষয়শ্রেণী:পানি	Kategorio:Akvo
বিষয়শ্রেণী:৪৪-এ মৃত্যু	Kategorio:Mortintoj en 44
বিষয়শ্রেণী:৪৬-এ জন্ম	Kategorio:Naskiĝintoj en 46
বিষয়শ্রেণী:৫০-এ জন্ম	Kategorio:Naskiĝintoj en 50
বিষয়শ্রেণী:১৪৫৬	Kategorio:1456
বিষয়শ্রেণী:৫১-এ জন্ম	Kategorio:Naskiĝintoj en 51
বিষয়শ্রেণী:৫৩-এ জন্ম	Kategorio:Naskiĝintoj en 53
বিষয়শ্রেণী:৬১-এ জন্ম	Kategorio:Naskiĝintoj en 61
বিষয়শ্রেণী:৬১-এ মৃত্যু	Kategorio:Mortintoj en 61
বিষয়শ্রেণী:৬২-এ মৃত্যু	Kategorio:Mortintoj en 62
বিষয়শ্রেণী:৬৫-এ মৃত্যু	Kategorio:Mortintoj en 65
বিষয়শ্রেণী:৬৭-এ মৃত্যু	Kategorio:Mortintoj en 67
বিষয়শ্রেণী:৬৯-এ মৃত্যু	Kategorio:Mortintoj en 69
বিষয়শ্রেণী:৭০-এ জন্ম	Kategorio:Naskiĝintoj en 70
বিষয়শ্রেণী:৮৬-এ জন্ম	Kategorio:Naskiĝintoj en 86
বিষয়শ্রেণী:৯২-এ জন্ম	Kategorio:Naskiĝintoj en 92
বিষয়শ্রেণী:৯৩-এ মৃত্যু	Kategorio:Mortintoj en 93
বিষয়শ্রেণী:৯৬-এ মৃত্যু	Kategorio:Mortintoj en 96
বিষয়শ্রেণী:৯৭-এ মৃত্যু	Kategorio:Mortintoj en 97
বিষয়শ্রেণী:৯৯-এ মৃত্যু	Kategorio:Mortintoj en 99
বিষয়শ্রেণী:১০০-এ জন্ম	Kategorio:Naskiĝintoj en 100
বিষয়শ্রেণী:১০১-এ মৃত্যু	Kategorio:Mortintoj en 101
বিষয়শ্রেণী:১০৩-এ মৃত্যু	Kategorio:Mortintoj en 103
বিষয়শ্রেণী:১০৬-এ মৃত্যু	Kategorio:Mortintoj en 106
টেমপ্লেট:নন-ফ্রি ভিডিও গেম স্ক্রিনশট	Ŝablono:Videoludo-ekrankopio
বিষয়শ্রেণী:১১৩-এ মৃত্যু	Kategorio:Mortintoj en 113
বিষয়শ্রেণী:১১৫-এ মৃত্যু	Kategorio:Mortintoj en 115
বিষয়শ্রেণী:১১৭-এ মৃত্যু	Kategorio:Mortintoj en 117
বিষয়শ্রেণী:১২১-এ জন্ম	Kategorio:Naskiĝintoj en 121
বিষয়শ্রেণী:১২৬-এ জন্ম	Kategorio:Naskiĝintoj en 126
বিষয়শ্রেণী:১৩০-এ জন্ম	Kategorio:Naskiĝintoj en 130
বিষয়শ্রেণী:১৩৬-এ মৃত্যু	Kategorio:Mortintoj en 136
বিষয়শ্রেণী:১৩৮-এ মৃত্যু	Kategorio:Mortintoj en 138
বিষয়শ্রেণী:১৪৬-এ জন্ম	Kategorio:Naskiĝintoj en 146
বিষয়শ্রেণী:১৫৫-এ মৃত্যু	Kategorio:Mortintoj en 155
সাহায্য:মিডিয়াউইকি নামস্থান	Helpo:Sistemaj mesaĝoj
বিষয়শ্রেণী:১৫৮৮-এ জন্ম	Kategorio:Naskiĝintoj en 1588
বিষয়শ্রেণী:১০৬৩-এ মৃত্যু	Kategorio:Mortintoj en 1063
বিষয়শ্রেণী:১৬৭৯-এ মৃত্যু	Kategorio:Mortintoj en 1679
বিষয়শ্রেণী:১৬১-এ মৃত্যু	Kategorio:Mortintoj en 161
বিষয়শ্রেণী:১৭৬৮-এ মৃত্যু	Kategorio:Mortintoj en 1768
বিষয়শ্রেণী:১৬৮২-এ মৃত্যু	Kategorio:Mortintoj en 1682
বিষয়শ্রেণী:১৬০৪-এ জন্ম	Kategorio:Naskiĝintoj en 1604
বিষয়শ্রেণী:১০৫৫-এ মৃত্যু	Kategorio:Mortintoj en 1055
বিষয়শ্রেণী:১০৬২-এ মৃত্যু	Kategorio:Mortintoj en 1062
বিষয়শ্রেণী:১৬৪-এ মৃত্যু	Kategorio:Mortintoj en 164
বিষয়শ্রেণী:১০৫৯-এ মৃত্যু	Kategorio:Mortintoj en 1059
বিষয়শ্রেণী:১৬৫-এ জন্ম	Kategorio:Naskiĝintoj en 165
টেমপ্লেট:হংকং স্টক এক্সচেঞ্জ	Ŝablono:Hkse
টেমপ্লেট:PD-old-70	Ŝablono:Bildo malnova, pli ol 70 jaroj
বিষয়শ্রেণী:১৬০৪	Kategorio:1604
বিষয়শ্রেণী:১৭০-এ জন্ম	Kategorio:Naskiĝintoj en 170
বিষয়শ্রেণী:১৮০-এ মৃত্যু	Kategorio:Mortintoj en 180
বিষয়শ্রেণী:১৮৫-এ জন্ম	Kategorio:Naskiĝintoj en 185
বিষয়শ্রেণী:১৯২-এ মৃত্যু	Kategorio:Mortintoj en 192
টেমপ্লেট:Proposed	Ŝablono:Propono
বিষয়শ্রেণী:১৯৯-এ মৃত্যু	Kategorio:Mortintoj en 199
বিষয়শ্রেণী:২০০-এ জন্ম	Kategorio:Naskiĝintoj en 200
বিষয়শ্রেণী:২০৫-এ জন্ম	Kategorio:Naskiĝintoj en 205
বিষয়শ্রেণী:২০৬-এ জন্ম	Kategorio:Naskiĝintoj en 206
